,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,move
31,R,.,.,.,.,.,K,.,.,.,r,.,.,.,P,P,.,.,P,.,.,P,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,R,.,.,.,.,.,.,p,.,.,p,p,.,.,.,.,.,p,.,.,.,.,.,k,.,.,white,Rh5
32,R,.,.,.,.,.,K,.,.,.,r,.,.,.,P,P,.,.,P,.,.,P,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,R,.,.,.,.,.,p,.,.,p,p,.,.,.,.,k,p,.,.,.,.,.,.,.,.,white,Rd1
33,.,.,.,R,.,.,K,.,.,.,r,.,.,.,P,P,.,.,P,.,.,P,.,.,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,R,.,.,.,.,.,p,k,.,p,p,.,.,.,.,.,p,.,.,.,.,.,.,.,.,white,Rh3
34,.,.,.,R,.,.,K,.,.,.,.,.,.,.,P,P,.,.,r,.,.,P,.,R,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,k,.,p,p,.,.,.,.,.,p,.,.,.,.,.,.,.,.,white,Rd7
35,.,.,r,.,.,.,K,.,.,.,.,.,.,.,P,P,.,.,.,.,.,P,.,R,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,k,.,p,p,.,R,.,.,.,p,.,.,.,.,.,.,.,.,white,Kf2
36,.,.,.,.,.,.,.,.,.,.,r,.,.,K,P,P,.,.,.,.,.,P,.,R,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,.,.,.,.,.,.,p,k,.,p,p,.,R,.,.,.,p,.,.,.,.,.,.,.,.,white,Kg3
37,.,.,.,.,.,.,.,.,.,.,r,.,.,.,P,P,.,.,.,.,.,P,K,R,P,.,.,.,P,.,.,.,.,P,.,.,p,.,.,p,.,.,.,.,.,p,k,.,p,p,.,R,.,.,.,.,.,.,.,.,.,.,.,.,white,Rxb7
38,.,.,.,.,.,.,.,.,.,.,r,.,.,.,P,P,.,.,.,.,.,P,K,R,P,.,.,.,P,.,.,.,.,P,.,.,p,.,k,p,.,.,.,.,.,p,.,.,p,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Rxa7
39,.,.,.,.,.,.,.,.,.,.,r,.,.,.,P,P,.,.,.,.,.,P,K,R,P,.,.,.,P,.,.,p,.,P,.,.,p,.,k,.,.,.,.,.,.,p,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Rxh4
40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,P,.,.,.,.,.,P,K,.,P,.,.,.,P,.,.,R,.,P,.,.,p,.,k,.,.,.,.,.,.,p,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,white,Kxg2
