p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
.,.,.,r,.,r,k,.,p,b,.,n,.,p,b,.,.,p,.,q,.,.,p,p,.,.,p,P,p,.,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,N,P,B,P,B,Q,.,.,P,.,P,.,.,.,R,R,.,K,.,black,f5,f7f5
.,.,.,r,.,r,k,.,p,b,.,n,.,.,b,.,.,p,.,q,.,.,p,p,.,.,p,P,p,p,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,N,P,B,P,B,Q,.,R,P,.,P,.,.,.,R,.,.,K,.,black,e4,e5e4
.,.,.,r,.,r,k,.,p,b,.,n,.,.,B,.,.,p,.,q,.,.,p,p,.,.,p,P,.,p,.,.,.,.,P,.,p,.,.,.,.,P,.,.,.,N,P,B,P,.,Q,.,R,P,.,P,.,.,.,R,.,.,K,.,black,Kxg7,g8g7
.,.,.,r,.,r,.,.,p,b,.,n,.,.,k,.,.,p,.,q,.,.,p,p,.,.,p,P,.,p,.,.,.,.,P,.,p,.,.,.,.,P,.,.,.,N,P,B,P,Q,.,.,R,P,.,P,.,.,.,R,.,.,K,.,black,Qf6,d6f6
.,.,.,r,.,r,.,.,p,b,.,n,.,.,k,.,.,p,.,.,.,Q,p,p,.,.,p,P,.,p,.,.,.,.,P,.,p,.,.,.,.,P,.,.,.,N,P,B,P,.,.,.,R,P,.,P,.,.,.,R,.,.,K,.,black,Kxf6,g7f6
.,.,.,r,.,r,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,p,p,.,.,p,P,.,p,.,.,.,.,P,.,p,.,.,.,.,P,.,.,.,.,P,B,P,.,.,.,R,P,.,P,.,.,.,R,N,.,K,.,black,Rfe8,f8e8
.,.,.,r,r,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,p,p,.,.,p,P,.,p,.,.,.,.,P,.,p,P,.,.,.,P,.,.,.,.,P,B,P,.,.,.,R,.,.,P,.,.,.,R,N,.,K,.,black,exf3,e4f3
.,.,.,r,R,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,p,p,.,.,p,P,.,p,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,p,P,B,P,.,.,.,.,.,.,P,.,.,.,R,N,.,K,.,black,Rxe8,d8e8
.,.,.,.,r,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,p,p,.,.,p,P,.,p,.,.,.,.,P,.,.,.,.,.,.,P,.,.,.,N,P,B,P,.,.,.,.,.,.,P,.,.,.,R,.,.,K,.,black,g5,g6g5
.,.,.,.,r,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,.,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,N,P,.,P,.,.,.,.,.,B,P,.,.,.,R,.,.,K,.,black,Re2,e8e2
.,.,.,.,.,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,.,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,N,P,.,P,.,.,R,r,.,B,P,.,.,.,.,.,.,K,.,black,Rxd2,e2d2
.,.,.,.,.,.,.,.,p,b,.,n,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,.,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,.,P,.,P,.,.,N,.,.,B,P,.,.,.,.,.,.,K,.,black,Ne5,d7e5
.,.,.,.,.,.,.,.,p,b,.,.,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,n,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,.,P,.,P,.,.,N,.,.,.,P,.,.,.,.,.,B,K,.,black,Bc8,b7c8
.,.,b,.,.,.,.,.,p,.,.,.,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,n,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,.,P,.,P,.,.,N,.,K,.,P,.,.,.,.,.,B,.,.,black,Bd7,c8d7
.,.,.,.,.,.,.,.,p,.,.,b,.,.,.,.,.,p,.,.,.,k,.,p,.,.,p,P,n,p,p,.,.,.,P,.,.,.,.,.,.,P,.,.,.,.,P,.,P,.,.,N,B,K,.,P,.,.,.,.,.,.,.,.,black,a6,a7a6
.,.,.,.,.,.,.,.,.,.,.,b,.,.,.,.,p,p,.,.,.,k,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,.,.,P,.,.,.,.,N,B,K,.,P,.,.,.,.,.,.,.,.,black,Ke7,f6e7
.,.,.,.,.,.,.,.,.,.,.,b,k,.,.,.,p,p,.,.,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Kd6,e7d6
.,.,.,.,.,.,.,.,.,.,.,b,.,.,.,.,p,p,.,k,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Be8,d7e8
.,.,.,.,b,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Bf7,e8f7
.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,p,p,.,k,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Bg6,f7g6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,.,b,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Be8,g6e8
.,.,.,.,b,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Bf7,e8f7
.,.,.,.,.,.,.,.,.,.,.,.,.,b,.,.,p,p,.,k,.,.,.,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,B,.,.,P,.,.,.,.,.,.,.,.,black,Bg6,f7g6
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,.,k,.,.,b,p,.,.,p,P,n,p,p,.,P,.,P,.,.,.,.,.,.,P,.,.,K,.,P,.,.,.,.,N,.,.,.,P,.,.,.,B,.,.,.,.,black,Nd7,e5d7
